date,location,type,description,source
2025-02-07,Maryland,Resources,Howard County Executive Calvin Ball Unveils Expanded County Resources Available to Federal Employees,https://www.howardcountymd.gov/News020725
2025-03-14,,Legislation,Amends Bill: H.R.1968 to make veteran Federal employees who were involuntarily dismissed without cause eligible for reinstatement,https://www.congress.gov/amendment/119th-congress/senate-amendment/1274/text?s=9&r=1
2025-03-12,,Article,Kaine pushes bill to reverse veteran layoffs,https://virginiamercury.com/2025/03/12/kaine-pushes-bill-to-reverse-veteran-layoffs-slams-trumps-federal-workforce-policies/
2025-03-18,,Job board,Connecting top public sector talent with essential local government jobs,https://www.workforamerica.org/civicmatch
2025-03-18,New York,Job board,New York State Digital Service Open Positions,https://www.ny.gov/new-york-state-digital-service/we-are-hiring
2025-03-17,Virginia,Article,NOVA offers $1 million in scholarship aid to unemployed fed workers,https://wtop.com/education/2025/03/nova-offers-1-million-in-scholarship-aid-to-unemployed-fed-workers/
2025-03-17,Virginia,Article,Federal Layoffs: Resources for displaced workers in Northern Virginia,https://www.insidenova.com/news/arlington/federal-layoffs-resources-for-displaced-workers-in-northern-virginia/article_672d6846-0340-11f0-985f-db1267ec67a6.html
2025-03-13,Hawaii,Resources,Operation Hire Hawaiʻi (OH-HI),https://dhrd.hawaii.gov/OHHI/
2025-03-13,Maine,Resources,Resources for Laid Off Federal Workers in Maine,https://www.maine.gov/labor/federalworkers/
2025-03-13,Massachusetts,Resources,Fed Up? Make a Difference with Team Massachusetts,https://www.mass.gov/federal-workers
2025-03-13,Michigan,Resources,Resources for Terminated Federal Employees,https://www.michigan.gov/leo/bureaus-agencies/uia/tools/fed-employee-guidance
2025-03-13,Minnesota,Resources,Resources for Federal Workers Seeking Employment in State Government,https://mn.gov/mmb/careers/search-for-jobs/federal-workers/
2025-03-13,New Mexico,Resources,New Mexico Resources and Support for Former Federal Employees and Workers,https://www.dws.state.nm.us/FederalWorkerResources
2025-03-13,New York,Resources,Federal Workers: We Want You,https://www.ny.gov/programs/federal-workers-we-want-you
2025-03-13,Pennsylvania,Resources,Careers for Federal Employees: Continue Your Public Service with the Commonwealth,https://www.pa.gov/agencies/employment/open-jobs/careers-for-federal-employees.html
2025-03-13,Rhode Island,Resources,Need Unemployment Insurance? A Guide for Federal Workers,https://dlt.ri.gov/sites/g/files/xkgbur571/files/2025-02/UI%20Guide%20for%20Federal%20Employees.pdf
2025-03-13,Virginia,Resources,Virginia Has Jobs,https://virginiahasjobs.com/
2025-03-13,Virginia,Resources,Resources for Impacted Federal Workers,https://www.governor.virginia.gov/constituent-services/federal-employee-resources/
2025-03-09,Alaska,Resources,Rapid Response,https://jobs.alaska.gov/rr/index.htm
2025-03-09,California,Resources,Recruitment site specifically for former federal employees,https://workforcalifornia.ca.gov/
2025-03-09,Colorado,Resources,Resources for Federal Workers,https://cdle.colorado.gov/unemployment/resources-for-federal-workers
2025-03-09,Connecticut,Resources,Rapid Response / Dislocated Worker Resources (not fed-specific),https://portal.ct.gov/dol/Divisions/Rapid-Response?language=en_US
2025-03-05,Illinois,Press release,Governor announced two Spring Career Fairs this month targeting former federal workers,https://gov.illinois.gov/news/press-release.30997.html
2025-03-05,Pennsylvania,Executive order,Filling Critical Public Service Vacancies by Recruiting Federal Government Talent and Expertise,https://pa.gov/content/dam/copapwp-pagov/en/governor/documents/2025-01.pdf
2025-03-03,California,Executive order,Directs CalHR to create a federal employee resource website,https://www.gov.ca.gov/wp-content/uploads/2025/03/RTO-EO-3.3.25_-GGN-signed.pdf
2025-03-01,Alabama,Job board,State government jobs in Alabama,https://personnel.alabama.gov/Jobs
2025-03-01,Alaska,Job board,State government jobs in Alaska,https://jobs.alaska.gov/
2025-03-01,Arizona,Job board,State government jobs in Arizona,https://www.azstatejobs.gov/jobs/search
2025-03-01,Arkansas,Job board,State government jobs in Arkansas,https://arcareers.arkansas.gov/
2025-03-01,California,Job board,State government jobs in California,https://calcareers.ca.gov/
2025-03-01,Colorado,Job board,State government jobs in Colorado,https://careers.colorado.gov/
2025-03-01,Connecticut,Job board,State government jobs in Connecticut,https://portal.ct.gov/services/jobs-and-employment/state-job-openings
